,Num days
Byron/gitoxide,0.8919962895918022
romkatv/powerlevel10k,40.44491300776583
Polymer/polymer,21.79033260233918
niklasvh/html2canvas,86.13582123316498
github/markup,112.05146219135804
jdan/98.css,84.45386188271605
soimort/translate-shell,234.95312355324074
openshift/origin,20.845414870689655
ElemeFE/mint-ui,23.509653935185185
nukeop/nuclear,39.36474100637523
openzipkin/zipkin,36.08605910928534
facebook/redex,192.206875
cazala/synaptic,55.46336111111111
drakkan/sftpgo,34.42580820912376
traefik/yaegi,21.600328367682195
mahmoud/boltons,102.20646926440328
AutoMapper/AutoMapper,85.77164641203704
pinterest/ktlint,29.1701720505618
mcollina/autocannon,27.604334908361967
lucidrains/PaLM-rlhf-pytorch,1.6404328363289762
notepad-plus-plus/notepad-plus-plus,30.100491782407413
sockjs/sockjs-client,164.1491550925926
shirou/gopsutil,35.58485146604938
rui314/mold,24.937169312169313
Dman95/SASM,108.54952777777777
uNetworking/uWebSockets.js,20.23336070261438
ant-design/ant-design-landing,103.77044560185186
hexojs/hexo,35.02924136231139
Automattic/wp-calypso,36.56780318428184
yarnpkg/berry,58.05993500712251
StevenBlack/hosts,3.5076584238612543
moxiecode/plupload,143.98458101851853
App-vNext/Polly,62.215222281576445
bumptech/glide,80.45203326288245
JamesNK/Newtonsoft.Json,88.40363190827547
dstotijn/hetty,49.79890151515152
twpayne/chezmoi,9.858159850823045
elastic/elasticsearch-js,25.266476990049753
ideawu/ssdb,119.61137152777779
microsoft/reverse-proxy,49.123657407407414
Swinject/Swinject,74.56469646990742
tastejs/todomvc,529.5928182870371
nicklockwood/SwiftFormat,13.184862702546296
kyleneideck/BackgroundMusic,43.47659694664903
expressjs/body-parser,46.59972685185185
dwarvesf/hidden,119.34035751028806
HubSpot/offline,60.88881207912457
jhy/jsoup,130.56543981481482
robolectric/robolectric,39.298507691158896
Uberi/speech_recognition,114.58766782407407
CopyTranslator/CopyTranslator,47.91762924382716
mozilla/geckodriver,69.4240771053792
akveo/eva-icons,81.32767746913579
docker/docker-py,37.97481216532798
deepstreamIO/deepstream.io,26.659713418012032
scenee/FloatingPanel,35.52166757443718
handsontable/handsontable,20.063217880504883
lampepfl/dotty,21.59105618885395
thu-ml/tianshou,41.15589476495726
iissnan/hexo-theme-next,63.08086533224401
jaredpalmer/razzle,9.345784648736037
spyder-ide/spyder,34.78125352254428
Netflix/conductor,7.836568341803949
telegramdesktop/tdesktop,5.281992872807018
googlesamples/easypermissions,49.56291245791246
microsoft/windows-rs,22.27636414431673
encode/django-rest-framework,113.24885344328703
harvesthq/chosen,60.93360199214366
hashicorp/packer,36.01951664462081
electerious/Lychee,35.72634123093682
tc39/ecma262,135.08588514109348
vuejs/vue,13.354529779523377
jaredreich/pell,46.67507365319866
reactjs/react-modal,341.1762037037037
zalmoxisus/redux-devtools-extension,15.01530517463666
hibiken/asynq,36.82277488425926
kataras/iris,89.37648148148149
codecentric/spring-boot-admin,29.7461341540404
lucidrains/denoising-diffusion-pytorch,6.0183237398494756
confluentinc/librdkafka,78.88603086419754
spatie/laravel-permission,16.327749687890137
gajus/react-css-modules,44.69177083333333
pacocoursey/cmdk,51.11796006944444
clappr/clappr,31.471157407407407
vapor/vapor,5.453475578018847
panjf2000/gnet,120.54583101851853
JosefNemec/Playnite,17.996802286542266
alshedivat/al-folio,132.3638755787037
microsoft/WSL,15.04501494984568
jasonmayes/Real-Time-Person-Removal,3.007986111111111
macvim-dev/macvim,66.95115465167548
google/zx,13.651610217673813
chartjs/Chart.js,34.27226234567902
Sanster/lama-cleaner,11.527978395061728
daltoniam/Starscream,443.88153645833336
microsoft/LightGBM,83.273246114418
nasa/openmct,48.033030012771384
restic/restic,78.40319913663663
yandex/gixy,64.7028978587963
JessYanCoding/AndroidAutoSize,44.081948005698
bloc97/Anime4K,50.632112654320984
flot/flot,194.22937789351852
go-sql-driver/mysql,247.08827160493829
timolins/react-hot-toast,71.7340412808642
es-shims/es5-shim,51.857409829888034
jdorn/json-editor,20.751605324074074
yuin/gopher-lua,19.900358796296295
ReactiveX/RxKotlin,72.68756404320987
yahoo/CMAK,197.9161863425926
real-logic/aeron,28.539198082010582
metabase/metabase,7.636910596837391
valeriansaliou/sonic,60.415799039780524
pyinstaller/pyinstaller,117.45305720899472
google/glog,322.71883680555555
samber/lo,8.339305807165863
apple/turicreate,35.37602490421455
dotansimha/graphql-yoga,6.31385509122288
palantir/blueprint,21.50664678030303
evanw/esbuild,3.9128457917186847
jedisct1/dsvpn,33.32749131944444
thoughtbot/laptop,198.73919560185186
daimajia/AndroidImageSlider,6.041414930555555
Clipy/Clipy,66.5069129372428
jonls/redshift,334.44554166666666
firebase/flutterfire,0.020488425925925927
ustbhuangyi/better-scroll,34.65851738934056
ogham/exa,203.81613215488213
aFarkas/lazysizes,25.083955747635937
microsoft/terminal,23.417009186921295
syntaxhighlighter/syntaxhighlighter,769.3898842592592
oblador/react-native-vector-icons,45.83019476996528
yairm210/Unciv,2.304101192616565
symfony/routing,10.367027154558405
qgis/QGIS,14.742374614197532
Kong/insomnia,6.11715165965574
adobe/react-spectrum,47.858396990740744
confluentinc/ksql,103.98140873015872
UKPLab/sentence-transformers,34.43523708183991
cookiecutter/cookiecutter-django,11.202977007113821
tj/commander.js,43.33494878868595
rougier/numpy-100,40.63515046296296
NanoHttpd/nanohttpd,135.75900462962963
socketio/socket.io,42.94944344667943
laravel/tinker,96.75371435185185
meienberger/runtipi,6.304641909439929
uikit/uikit,12.817380321687667
paperjs/paper.js,71.32530671296296
donnemartin/saws,80.81225198412699
pytorch/pytorch,57.71356018518518
major/MySQLTuner-perl,348.6354293981481
benfred/py-spy,60.609998172514615
asciinema/asciinema,222.99390873015872
microsoft/LoRA,0.0
JedWatson/react-select,36.8638650730057
localForage/localForage,108.35507453703703
paulmillr/chokidar,82.62335648148148
fsnotify/fsnotify,114.6090731837607
SeleniumHQ/docker-selenium,9.421239109266093
mozilla/nunjucks,98.79349338624338
evilsocket/pwnagotchi,27.857841435185183
mailpile/Mailpile,259.5070205026455
sharkdp/hexyl,123.03104828042326
lostisland/faraday,48.23556752420034
apache/thrift,143.20190586419753
tgalal/yowsup,170.40978703703703
facebook/yoga,115.87230601851853
pytorch/vision,73.59683653322439
gaearon/react-hot-loader,14.416746137060628
cmusatyalab/openface,45.08221064814814
stubbornella/oocss,238.58717592592595
vercel/styled-jsx,20.563067235813797
google/guetzli,37.76119791666667
syl20bnr/spacemacs,7.535551795824488
mqttjs/MQTT.js,25.7470149265645
direnv/direnv,61.008959348602986
pre-commit/pre-commit,21.86054988425926
ntop/n2n,330.50409432870373
ionic-team/ionic-framework,4.720072107237957
pallets/jinja,101.99316044560186
kivy/kivy,342.40059375000004
Genymobile/gnirehtet,208.41959385521886
jantimon/html-webpack-plugin,362.7956423611111
dompdf/dompdf,128.3097200788752
socketio/socket.io-client,44.48322916666667
elastic/eui,10.354894364542208
Sigil-Ebook/Sigil,63.74666122004357
ReactiveX/RxSwift,41.186952595200836
charliermarsh/ruff,1.471638009088424
addyosmani/critical,50.11041563018242
lucidrains/imagen-pytorch,1.4635648487563808
orhanobut/logger,73.25220138888889
MichMich/MagicMirror,67.45747337962963
octalmage/robotjs,58.31661826599327
facebook/pyre-check,128.6116712962963
huggingface/peft,48.24837384259259
kovidgoyal/calibre,11.795701709022852
webpack/webpack,6.293959192794279
arachnys/cabot,10.47912533068783
nasa/fprime,71.84005908869396
fabiospampinato/cash,56.87421022727273
ericchiang/pup,48.383528439153444
mac-cain13/R.swift,29.310603869351002
codelucas/newspaper,65.78055555555555
dail8859/NotepadNext,51.295625
bcicen/ctop,122.76047145061727
redis/hiredis,214.15576003086423
ianyh/Amethyst,35.91731867283951
seemoo-lab/openhaystack,55.62600694444444
mobxjs/mobx-state-tree,103.31085648148148
kif-framework/KIF,66.22970890111809
httpie/http-prompt,104.88524811921296
iampawan/Flutter-UI-Kit,1.5806597222222223
libgdx/libgdx,423.10359053497945
cs01/gdbgui,88.55824797453704
lokesh/color-thief,442.084537037037
boto/boto3,11.458403668091167
uutils/coreutils,65.14117263645224
jenssegers/laravel-mongodb,30.025644854712436
karma-runner/karma,20.962789013428633
keystonejs/keystone-classic,77.79400694444445
1adrianb/face-alignment,147.46036940586418
google/libphonenumber,17.631507805442638
graphql/graphiql,3.6986024341769803
zeromq/libzmq,211.0686332947531
phiresky/ripgrep-all,384.0724035493827
amark/gun,96.49519892939816
sebastianruder/NLP-progress,31.53741898148148
sindresorhus/query-string,47.067990244708994
joeldev/JLRoutes,142.68777899610137
ant-design/ant-design-pro,68.07626064814815
microsoft/GSL,228.02953125
coturn/coturn,62.48220758442266
hyperium/hyper,18.690196828982597
SpiderLabs/ModSecurity,134.9256824252137
huggingface/text-generation-inference,9.869059124228395
mishoo/UglifyJS,7.536188201203028
labstack/echo,31.146016550925925
tiangolo/full-stack-fastapi-postgresql,80.9754398148148
