Repo,1,2,3,4,5,6,7,8,9,10
Financial-Times/polyfill-service,25,25,23,22,20,17,15,15,15,12
basecamp/trix,41,37,31,25,21,17,15,13,11,10
krausest/js-framework-benchmark,4,2,2,2,0,0,0,0,0,0
bmatzelle/gow,1,1,1,1,1,1,1,1,0,0
weibocom/motan,0,0,0,0,0,0,0,0,0,0
sparkle-project/Sparkle,47,40,37,32,28,28,28,27,24,23
gin-gonic/gin,21,19,13,11,11,10,10,8,8,8
google/j2objc,8,6,4,3,3,2,1,1,1,1
jarun/nnn,20,15,12,12,11,11,11,9,7,7
sindresorhus/np,42,39,20,19,10,10,6,6,5,5
MichaelCade/90DaysOfDevOps,0,0,0,0,0,0,0,0,0,0
flask-admin/flask-admin,0,0,0,0,0,0,0,0,0,0
Automattic/node-canvas,10,6,3,3,2,2,2,2,1,0
marceloprates/prettymaps,1,0,0,0,0,0,0,0,0,0
miniMAC/magic,0,0,0,0,0,0,0,0,0,0
theskumar/python-dotenv,10,8,5,3,3,2,2,2,2,0
dusty-nv/jetson-inference,0,0,0,0,0,0,0,0,0,0
g-truc/glm,31,29,29,27,23,19,18,15,14,13
zylo117/Yet-Another-EfficientDet-Pytorch,0,0,0,0,0,0,0,0,0,0
aseprite/aseprite,26,6,6,6,6,5,5,5,4,4
systemjs/systemjs,177,117,73,50,39,29,22,15,15,14
infinitered/nsfwjs,8,7,7,7,7,7,6,6,6,6
google-deepmind/sonnet,2,1,1,0,0,0,0,0,0,0
tj/n,32,13,9,7,6,4,3,3,3,3
ranaroussi/yfinance,51,29,13,12,8,5,4,4,3,2
futurepress/epub.js,3,1,1,1,1,1,0,0,0,0
bxcodec/go-clean-arch,1,1,1,1,1,1,0,0,0,0
brannondorsey/wifi-cracking,0,0,0,0,0,0,0,0,0,0
trello/RxLifecycle,21,13,6,4,2,1,1,0,0,0
Semantic-Org/Semantic-UI,40,29,27,24,23,19,19,18,16,16
uber/baseweb,379,339,295,257,207,176,149,134,113,92
roots/sage,47,38,29,22,19,16,13,12,10,10
rethinkdb/horizon,1,1,1,1,0,0,0,0,0,0
ivpusic/react-native-image-crop-picker,117,59,32,20,11,5,4,3,3,0
lucidrains/DALLE2-pytorch,0,0,0,0,0,0,0,0,0,0
istio/istio,6,3,0,0,0,0,0,0,0,0
google/clusterfuzz,1,0,0,0,0,0,0,0,0,0
pagekit/pagekit,5,4,3,2,2,1,1,1,1,1
BabylonJS/Babylon.js,148,140,130,124,114,107,99,95,86,81
vanhauser-thc/thc-hydra,0,0,0,0,0,0,0,0,0,0
yanue/V2rayU,6,5,2,1,1,1,1,0,0,0
Kozea/WeasyPrint,64,59,51,47,39,31,29,23,20,18
buger/goreplay,24,21,17,14,12,11,9,8,5,3
onsi/ginkgo,60,53,43,40,33,28,21,18,16,11
yarnpkg/yarn,55,40,37,34,32,30,30,28,28,26
vercel/turbo,235,215,195,177,164,150,141,130,111,108
kickstarter/android-oss,80,74,72,69,69,66,63,60,58,56
google/auto,52,38,25,18,14,10,10,8,8,4
hakimel/reveal.js,28,22,20,19,17,12,11,9,7,6
projectdiscovery/subfinder,33,28,26,21,19,17,13,12,11,8
Qihoo360/RePlugin,11,11,10,8,8,8,7,7,6,5
google-deepmind/alphafold,2,1,1,0,0,0,0,0,0,0
dimsemenov/Magnific-Popup,5,3,1,1,0,0,0,0,0,0
openwrt/openwrt,10,6,4,4,3,3,2,2,2,2
dwmkerr/hacker-laws,0,0,0,0,0,0,0,0,0,0
oblador/react-native-animatable,1,1,1,0,0,0,0,0,0,0
microsoft/vcpkg,40,39,39,39,39,39,38,38,38,38
jakiestfu/Snap.js,0,0,0,0,0,0,0,0,0,0
SergioBenitez/Rocket,1,0,0,0,0,0,0,0,0,0
FaridSafi/react-native-gifted-chat,40,30,24,20,15,8,6,5,4,2
h2o/h2o,68,62,55,49,45,42,38,34,33,31
nylas/nylas-mail,12,5,3,1,1,1,1,0,0,0
GoogleCloudPlatform/terraformer,14,14,13,13,12,12,11,9,8,7
ibireme/YYText,4,2,2,1,0,0,0,0,0,0
jshint/jshint,45,43,37,36,32,31,28,27,27,27
JakeWharton/timber,0,0,0,0,0,0,0,0,0,0
fmfn/BayesianOptimization,4,4,3,2,2,1,1,1,1,1
davecheney/httpstat,1,0,0,0,0,0,0,0,0,0
swagger-api/swagger-codegen,93,82,77,72,67,60,56,48,41,36
apex/up,92,87,77,63,50,42,30,26,23,22
facebookresearch/detectron2,0,0,0,0,0,0,0,0,0,0
expressjs/session,0,0,0,0,0,0,0,0,0,0
twitter/twemoji,7,6,3,2,1,1,1,0,0,0
Shopify/toxiproxy,17,11,9,7,6,6,6,5,4,4
tw93/Pake,5,3,3,2,2,1,1,0,0,0
SnapKit/Masonry,0,0,0,0,0,0,0,0,0,0
sqlitebrowser/sqlitebrowser,24,23,23,22,22,21,20,20,20,20
moby/buildkit,81,67,58,46,37,34,28,24,22,20
unicorn-engine/unicorn,7,6,6,6,6,5,5,5,5,5
facebookresearch/xformers,11,9,9,8,5,4,4,4,3,3
ant-design/ant-design-mobile,205,184,155,139,123,109,89,77,67,65
fengyuanchen/cropperjs,44,17,4,1,0,0,0,0,0,0
okonet/lint-staged,214,208,157,78,37,25,15,15,12,12
bootandy/dust,0,0,0,0,0,0,0,0,0,0
skypjack/entt,3,2,0,0,0,0,0,0,0,0
localstack/localstack,21,20,19,18,18,18,18,18,18,18
joerick/pyinstrument,3,3,3,1,0,0,0,0,0,0
steipete/Aspects,0,0,0,0,0,0,0,0,0,0
FreeRDP/FreeRDP,18,17,13,12,11,9,8,6,6,5
sindresorhus/Gifski,13,8,4,1,0,0,0,0,0,0
thephpleague/oauth2-server,62,28,21,18,12,10,7,5,5,4
libimobiledevice/libimobiledevice,0,0,0,0,0,0,0,0,0,0
tensorflow/serving,54,48,45,41,38,36,34,34,33,30
facebookresearch/fairseq,8,8,5,5,4,4,4,4,4,3
fathyb/carbonyl,2,2,2,2,2,2,2,2,2,2
less/less.js,6,5,5,5,5,4,4,1,1,1
mbdavid/LiteDB,25,16,14,10,7,5,5,4,4,4
quantopian/zipline,0,0,0,0,0,0,0,0,0,0
facebookresearch/AnimatedDrawings,0,0,0,0,0,0,0,0,0,0
google/accompanist,96,85,78,64,54,48,40,34,30,26
Homebrew/brew,331,319,315,307,299,286,284,273,260,248
expressjs/morgan,0,0,0,0,0,0,0,0,0,0
SubtitleEdit/subtitleedit,21,19,19,19,3,2,0,0,0,0
kubernetes/kubernetes,87,85,59,44,38,34,29,26,24,23
be5invis/Sarasa-Gothic,0,0,0,0,0,0,0,0,0,0
JessYanCoding/MVPArms,9,0,0,0,0,0,0,0,0,0
stanfordnlp/stanza,18,18,18,17,16,16,14,12,10,10
lucidrains/vit-pytorch,0,0,0,0,0,0,0,0,0,0
squizlabs/PHP_CodeSniffer,85,83,79,74,67,65,60,56,52,47
malcommac/SwiftDate,41,30,24,21,16,14,10,6,6,3
VirusTotal/yara,25,22,17,12,9,8,7,6,6,5
SamyPesse/How-to-Make-a-Computer-Operating-System,0,0,0,0,0,0,0,0,0,0
Mango/slideout,5,4,2,1,1,1,1,1,1,1
davemorrissey/subsampling-scale-image-view,15,13,9,8,2,2,2,1,1,1
garris/BackstopJS,21,9,7,5,2,1,0,0,0,0
primer/css,146,141,135,104,96,90,70,63,60,37
symfony/css-selector,12,1,1,1,1,1,1,1,1,1
segmentio/evergreen,189,136,93,78,58,52,41,38,34,30
jackocnr/intl-tel-input,3,2,0,0,0,0,0,0,0,0
git-ftp/git-ftp,0,0,0,0,0,0,0,0,0,0
RetroPie/RetroPie-Setup,1,0,0,0,0,0,0,0,0,0
nate-parrott/Flashlight,0,0,0,0,0,0,0,0,0,0
jacomyal/sigma.js,5,5,3,3,2,2,2,1,1,1
JakubOnderka/PHP-Console-Color,1,1,1,0,0,0,0,0,0,0
deployphp/deployer,46,37,34,28,26,23,19,17,16,13
BishopFox/sliver,70,70,69,60,58,57,53,53,51,48
CreateJS/EaselJS,0,0,0,0,0,0,0,0,0,0
mikebrady/shairport-sync,14,4,2,2,2,2,2,0,0,0
phpspec/prophecy,1,0,0,0,0,0,0,0,0,0
CanCanCommunity/cancancan,0,0,0,0,0,0,0,0,0,0
dotnet/tye,11,10,9,8,8,8,8,8,7,7
oracle/graal,5,0,0,0,0,0,0,0,0,0
ggerganov/kbd-audio,0,0,0,0,0,0,0,0,0,0
Byron/gitoxide,1271,1135,983,801,658,589,493,442,386,344
romkatv/powerlevel10k,14,9,2,1,0,0,0,0,0,0
Polymer/polymer,106,105,99,96,93,91,90,88,86,83
niklasvh/html2canvas,17,14,12,10,8,6,6,6,6,6
github/markup,18,7,3,2,2,1,0,0,0,0
jdan/98.css,2,1,1,1,0,0,0,0,0,0
soimort/translate-shell,9,9,8,2,1,1,1,1,0,0
openshift/origin,52,47,47,47,47,46,38,37,35,35
ElemeFE/mint-ui,3,3,3,2,2,1,0,0,0,0
nukeop/nuclear,1,1,1,1,1,1,1,1,1,1
openzipkin/zipkin,51,43,34,27,21,20,17,16,13,12
facebook/redex,0,0,0,0,0,0,0,0,0,0
cazala/synaptic,8,3,1,0,0,0,0,0,0,0
drakkan/sftpgo,9,3,0,0,0,0,0,0,0,0
traefik/yaegi,62,55,51,49,45,39,34,30,24,21
mahmoud/boltons,11,0,0,0,0,0,0,0,0,0
AutoMapper/AutoMapper,38,35,33,32,30,30,29,27,26,26
pinterest/ktlint,78,44,40,36,31,25,22,21,20,20
mcollina/autocannon,88,39,28,19,13,10,9,8,5,3
lucidrains/PaLM-rlhf-pytorch,0,0,0,0,0,0,0,0,0,0
notepad-plus-plus/notepad-plus-plus,42,42,42,42,26,26,26,26,21,21
sockjs/sockjs-client,14,8,5,4,4,3,2,1,0,0
shirou/gopsutil,13,13,13,11,10,8,8,6,5,4
rui314/mold,28,21,18,18,17,16,13,12,11,8
Dman95/SASM,31,31,31,31,0,0,0,0,0,0
uNetworking/uWebSockets.js,1,1,1,0,0,0,0,0,0,0
ant-design/ant-design-landing,3,2,1,0,0,0,0,0,0,0
hexojs/hexo,98,80,67,53,41,37,31,28,24,23
Automattic/wp-calypso,16,16,9,6,4,2,0,0,0,0
yarnpkg/berry,4,4,0,0,0,0,0,0,0,0
StevenBlack/hosts,580,378,321,257,182,136,105,72,55,44
moxiecode/plupload,0,0,0,0,0,0,0,0,0,0
App-vNext/Polly,13,13,13,13,11,11,11,11,11,10
bumptech/glide,37,35,31,30,27,25,25,24,22,22
JamesNK/Newtonsoft.Json,1,1,0,0,0,0,0,0,0,0
dstotijn/hetty,12,9,9,9,9,9,8,8,8,8
twpayne/chezmoi,177,164,150,137,123,118,108,97,86,81
elastic/elasticsearch-js,30,21,17,15,15,13,8,6,3,1
ideawu/ssdb,0,0,0,0,0,0,0,0,0,0
microsoft/reverse-proxy,16,12,11,10,8,5,5,4,4,4
Swinject/Swinject,29,20,16,13,9,6,6,5,5,4
tastejs/todomvc,0,0,0,0,0,0,0,0,0,0
nicklockwood/SwiftFormat,0,0,0,0,0,0,0,0,0,0
kyleneideck/BackgroundMusic,18,4,1,1,1,1,1,1,1,1
expressjs/body-parser,0,0,0,0,0,0,0,0,0,0
dwarvesf/hidden,2,2,2,2,1,1,1,1,0,0
HubSpot/offline,0,0,0,0,0,0,0,0,0,0
jhy/jsoup,2,2,2,2,2,2,2,2,2,2
robolectric/robolectric,41,35,30,29,26,23,21,18,18,18
Uberi/speech_recognition,3,2,1,0,0,0,0,0,0,0
CopyTranslator/CopyTranslator,26,21,19,17,9,6,5,5,5,5
mozilla/geckodriver,18,5,2,1,0,0,0,0,0,0
akveo/eva-icons,0,0,0,0,0,0,0,0,0,0
docker/docker-py,30,8,7,7,5,5,5,4,4,4
deepstreamIO/deepstream.io,25,15,7,3,2,2,2,2,1,1
scenee/FloatingPanel,44,30,23,13,8,8,5,5,3,3
handsontable/handsontable,179,156,138,124,113,100,87,80,73,68
lampepfl/dotty,80,75,72,64,59,56,53,48,46,44
thu-ml/tianshou,23,22,22,21,20,18,18,15,12,11
iissnan/hexo-theme-next,9,9,9,8,8,8,8,7,7,7
jaredpalmer/razzle,207,140,95,79,48,43,37,35,19,16
spyder-ide/spyder,11,10,9,6,6,5,4,4,4,4
Netflix/conductor,73,58,52,43,33,26,23,21,21,14
telegramdesktop/tdesktop,1,0,0,0,0,0,0,0,0,0
googlesamples/easypermissions,9,6,2,2,1,0,0,0,0,0
microsoft/windows-rs,29,28,25,22,22,21,18,17,17,17
encode/django-rest-framework,12,7,7,6,6,5,5,4,4,4
harvesthq/chosen,33,28,24,19,19,14,10,8,8,7
hashicorp/packer,12,11,11,11,11,9,8,7,6,5
electerious/Lychee,27,22,16,12,10,8,6,3,1,1
tc39/ecma262,7,5,4,3,2,2,2,2,2,2
drivendata/cookiecutter-data-science,1,0,0,0,0,0,0,0,0,0
vuejs/vue,170,142,120,109,94,86,75,60,55,46
jaredreich/pell,0,0,0,0,0,0,0,0,0,0
reactjs/react-modal,1,1,1,1,1,1,1,1,0,0
zalmoxisus/redux-devtools-extension,51,40,29,23,17,12,10,5,3,2
hibiken/asynq,6,0,0,0,0,0,0,0,0,0
kataras/iris,9,6,4,4,2,2,2,2,2,2
codecentric/spring-boot-admin,75,73,69,66,63,62,59,55,54,50
camsong/You-Dont-Need-jQuery,0,0,0,0,0,0,0,0,0,0
lucidrains/denoising-diffusion-pytorch,0,0,0,0,0,0,0,0,0,0
confluentinc/librdkafka,42,37,36,32,28,26,23,23,20,19
spatie/laravel-permission,59,27,18,13,11,9,6,4,3,2
gajus/react-css-modules,21,21,18,3,2,1,1,0,0,0
pacocoursey/cmdk,4,3,3,2,2,2,2,2,2,2
clappr/clappr,25,13,12,9,7,6,5,5,3,2
vapor/vapor,212,82,31,18,15,10,6,5,4,3
lukemelas/EfficientNet-PyTorch,0,0,0,0,0,0,0,0,0,0
scrapinghub/portia,0,0,0,0,0,0,0,0,0,0
panjf2000/gnet,9,9,9,9,9,9,9,9,9,9
JosefNemec/Playnite,47,41,36,32,29,24,20,15,13,10
alshedivat/al-folio,15,15,15,12,12,12,11,10,9,7
microsoft/WSL,18,13,8,5,2,1,0,0,0,0
jasonmayes/Real-Time-Person-Removal,0,0,0,0,0,0,0,0,0,0
macvim-dev/macvim,26,23,22,20,19,18,16,14,14,14
google/zx,30,23,17,9,4,1,1,1,1,1
chartjs/Chart.js,87,81,76,73,72,69,64,62,59,58
Sanster/lama-cleaner,34,30,30,30,20,18,17,17,16,15
daltoniam/Starscream,0,0,0,0,0,0,0,0,0,0
microsoft/LightGBM,16,16,16,15,13,13,13,13,13,13
nasa/openmct,33,32,31,30,29,29,28,27,25,25
restic/restic,37,37,36,35,35,35,35,35,35,35
yandex/gixy,6,2,2,1,0,0,0,0,0,0
JessYanCoding/AndroidAutoSize,4,2,1,1,0,0,0,0,0,0
bloc97/Anime4K,6,4,3,2,2,2,0,0,0,0
flot/flot,5,5,5,4,4,4,4,4,4,4
go-sql-driver/mysql,4,3,3,3,3,3,3,3,3,0
timolins/react-hot-toast,12,11,11,11,11,10,10,8,7,7
es-shims/es5-shim,37,13,9,7,5,4,2,1,1,1
jdorn/json-editor,0,0,0,0,0,0,0,0,0,0
yuin/gopher-lua,1,0,0,0,0,0,0,0,0,0
ReactiveX/RxKotlin,5,2,2,1,1,1,0,0,0,0
yahoo/CMAK,3,2,2,2,2,0,0,0,0,0
real-logic/aeron,58,36,28,20,14,11,9,4,4,1
verekia/js-stack-from-scratch,0,0,0,0,0,0,0,0,0,0
metabase/metabase,298,262,252,235,221,206,198,191,180,166
valeriansaliou/sonic,17,12,9,5,2,1,1,0,0,0
pyinstaller/pyinstaller,9,8,8,7,7,7,7,7,7,6
google/glog,8,8,8,8,8,8,8,8,7,7
samber/lo,1,0,0,0,0,0,0,0,0,0
apple/turicreate,25,19,19,16,16,16,15,14,14,14
dotansimha/graphql-yoga,319,235,140,99,81,74,67,62,59,53
palantir/blueprint,90,66,57,46,44,40,39,38,36,35
evanw/esbuild,258,207,152,97,60,35,24,15,11,10
jedisct1/dsvpn,0,0,0,0,0,0,0,0,0,0
thoughtbot/laptop,2,2,2,2,0,0,0,0,0,0
daimajia/AndroidImageSlider,0,0,0,0,0,0,0,0,0,0
Clipy/Clipy,9,7,5,5,5,5,5,4,3,2
jonls/redshift,2,2,2,2,2,1,0,0,0,0
firebase/flutterfire,0,0,0,0,0,0,0,0,0,0
ustbhuangyi/better-scroll,26,12,7,1,1,1,0,0,0,0
ogham/exa,10,10,10,10,10,10,10,10,10,10
aFarkas/lazysizes,2,1,0,0,0,0,0,0,0,0
microsoft/terminal,93,85,84,80,78,76,74,69,65,64
syntaxhighlighter/syntaxhighlighter,1,1,1,1,0,0,0,0,0,0
oblador/react-native-vector-icons,2,2,2,2,2,2,1,1,1,1
yairm210/Unciv,2,0,0,0,0,0,0,0,0,0
symfony/routing,51,9,5,5,3,2,1,1,1,1
qgis/QGIS,0,0,0,0,0,0,0,0,0,0
CodeSeven/toastr,0,0,0,0,0,0,0,0,0,0
Kong/insomnia,20,10,10,9,7,6,5,4,4,3
adobe/react-spectrum,0,0,0,0,0,0,0,0,0,0
confluentinc/ksql,1,1,1,1,1,1,1,1,1,1
UKPLab/sentence-transformers,5,2,1,1,1,1,1,0,0,0
cookiecutter/cookiecutter-django,314,183,131,76,52,41,29,17,15,12
tj/commander.js,59,50,43,31,24,18,15,15,12,10
rougier/numpy-100,0,0,0,0,0,0,0,0,0,0
NanoHttpd/nanohttpd,0,0,0,0,0,0,0,0,0,0
socketio/socket.io,48,46,40,36,27,23,19,15,11,10
laravel/tinker,18,5,1,1,1,1,1,1,1,1
meienberger/runtipi,33,28,21,20,16,15,14,11,9,8
uikit/uikit,0,0,0,0,0,0,0,0,0,0
paperjs/paper.js,18,12,11,11,10,10,8,7,7,6
donnemartin/saws,7,5,4,3,2,1,1,1,1,1
pytorch/pytorch,39,36,32,31,31,30,29,29,28,28
major/MySQLTuner-perl,4,4,4,4,4,4,4,4,4,4
benfred/py-spy,8,7,6,5,3,2,0,0,0,0
asciinema/asciinema,2,1,1,0,0,0,0,0,0,0
microsoft/LoRA,0,0,0,0,0,0,0,0,0,0
JedWatson/react-select,53,52,51,22,22,22,20,16,16,15
localForage/localForage,16,7,4,2,2,2,1,1,1,0
paulmillr/chokidar,3,1,1,1,1,1,1,1,1,1
fsnotify/fsnotify,24,9,8,8,7,5,5,4,3,3
SeleniumHQ/docker-selenium,222,208,181,170,157,147,135,132,128,125
mozilla/nunjucks,26,20,17,13,11,11,9,6,4,3
evilsocket/pwnagotchi,13,11,11,11,11,10,10,10,10,10
mailpile/Mailpile,0,0,0,0,0,0,0,0,0,0
sharkdp/hexyl,13,12,11,8,5,3,2,2,2,2
lostisland/faraday,67,44,32,30,28,27,19,17,12,11
apache/thrift,1,0,0,0,0,0,0,0,0,0
tgalal/yowsup,1,1,1,0,0,0,0,0,0,0
facebook/yoga,8,8,7,6,6,6,6,5,5,5
pytorch/vision,27,24,23,19,17,17,17,16,16,16
gaearon/react-hot-loader,117,92,68,55,44,37,26,24,19,13
cmusatyalab/openface,1,0,0,0,0,0,0,0,0,0
stubbornella/oocss,0,0,0,0,0,0,0,0,0,0
vercel/styled-jsx,103,71,52,16,9,7,5,5,5,2
google/guetzli,4,3,2,2,0,0,0,0,0,0
phpredis/phpredis,1,1,1,1,0,0,0,0,0,0
syl20bnr/spacemacs,68,44,34,28,23,18,15,13,13,12
mqttjs/MQTT.js,110,51,36,27,22,20,17,12,11,10
direnv/direnv,35,28,23,16,13,9,9,9,9,8
pre-commit/pre-commit,101,88,60,54,46,35,30,27,24,21
ntop/n2n,0,0,0,0,0,0,0,0,0,0
ionic-team/ionic-framework,735,734,663,643,620,607,543,533,510,492
pallets/jinja,5,1,1,1,1,1,1,1,1,1
kivy/kivy,7,6,6,6,6,6,5,5,5,5
Genymobile/gnirehtet,9,8,6,4,1,1,1,1,1,1
jantimon/html-webpack-plugin,1,1,0,0,0,0,0,0,0,0
dompdf/dompdf,4,1,1,1,1,1,1,1,1,1
socketio/socket.io-client,45,42,31,26,20,19,14,11,8,7
elastic/eui,191,165,148,127,108,98,89,77,67,53
Sigil-Ebook/Sigil,10,5,3,1,1,1,1,1,1,1
ReactiveX/RxSwift,32,22,14,8,5,3,3,2,2,2
charliermarsh/ruff,238,228,201,180,154,136,119,107,92,85
addyosmani/critical,58,51,36,29,25,15,15,13,13,11
mozilla/TTS,0,0,0,0,0,0,0,0,0,0
lucidrains/imagen-pytorch,0,0,0,0,0,0,0,0,0,0
orhanobut/logger,1,1,1,1,0,0,0,0,0,0
MichMich/MagicMirror,31,25,20,15,13,13,11,8,6,6
octalmage/robotjs,26,17,10,3,1,1,1,1,0,0
facebook/pyre-check,1,0,0,0,0,0,0,0,0,0
huggingface/peft,4,4,4,4,4,4,4,4,4,4
kovidgoyal/calibre,0,0,0,0,0,0,0,0,0,0
webpack/webpack,88,24,19,18,16,15,15,14,14,14
arachnys/cabot,0,0,0,0,0,0,0,0,0,0
nasa/fprime,8,8,8,7,6,6,6,6,6,6
fabiospampinato/cash,6,3,2,2,2,1,1,1,1,0
ericchiang/pup,2,1,0,0,0,0,0,0,0,0
mac-cain13/R.swift,4,1,1,0,0,0,0,0,0,0
